"34 Million Friends of the United Nations population fund","United States of America"
"Abantu for Development","Kenya"
"Academia Nacional de Medicina","Peru"
"Action Canada for Population and Development","Canada"
"Action for Sustainable Health","Nigeria"
"Action Group on adolescent health","Nigeria"
"ActionAid United States of America","United States of America"
"Advanced Life Support in Obstetrics Advisory Board (ALSO)","United States of America"
"Advocacy Initiative for Development (AID)","Sierra Leone"
"Africa Public Health Rights Alliance and ?15% Now!? Campaign","Nigeria"
"Africa solutions, Inc.","United States of America"
"Africa Youth for Peace and Development Organization","Sierra Leone"
"African Medical and Research Foundation (AMREF)","Kenya"
"African Synergy against AIDS and Suffering","Cameroon"
"African Woman Foundation","Netherlands"
"African Woman Foundation","Netherlands"
"Aga Khan Development Network","France"
"Aga Khan University","Pakistan"
"Aisedup","Bangladesh"
"Akaa Project (The)","Ghana"
"Alexandria University, Faculty of Medicine, High Institute of Public Health (HIPH)","Egypt"
"Alianza Argentina para la salud de la madre, recien nacido y nino","Argentina"
"All India Institute of Medical Sciences","India"
"Alliance for Reproductive Health Rights (ARHR)","Ghana"
"Alliance of Bulgarian Midwives","Bulgaria"
"American Academy of Pediatrics","United States of America"
"American College of Nurse-Midwives","United States of America"
"Anayetpur Mohila Kallyan Society","Bangladesh"
"Aria International","United States of America"
"Asian Liver Centre at Stanford University","United States of America"
"ASL di Milano","Italy"
"Asociasi?n Ben?fica PRISMA","Peru"
"Association of Maternal and Child Health Programs (AMCHP)","United States of America"
"Association of People With AIDS in Kenya","Kenya"
"Association of Safe Motherhood Promoters Nigeria","Nigeria"
"Australian Agency for International Development (AusAID","Australia"
"Averting Maternal Death and Disability (AMDD)","United States of America"
"Azad India Foundation","India"
"Bangladesh Rural Advancement Commission (BRAC)","Bangladesh"
"Batool Welfare Trust (BWT)","Pakistan"
"Baylor College of Medicine Childrens Foundation Malawi","Malawi"
"BD","United States of America"
"Ben Gurion University of the Negev Medical School for International Health","Israel"
"Bethlehem Foundation For Safe motherhood","Nigeria"
"Bhartiya Mahila Evam Gramin Utthan Sansthan","India"
"Bhoruka Public Welfare Trust","India"
"Bill & Melinda Gates Foundation","United States of America"
"Blue Torch Home Care Limited","Nigeria"
"Breastfeeding Promotion Network of India","India"
"Bridgewise","Bahamas"
"Burnet Institute","Australia"
"Cameroon Christian Welfare Medical Foundation (CAMCWEMEF)","Cameroon"
"Canadian International Development Agency (CIDA)","Canada"
"Canadian Public Health Association","Canada"
"Canadian Society for International Health (CSIH)","Canada"
"Cara International Consulting Ltd","United Kingdom of Great Britain and Northern Ireland"
"Care International Zambia","Zambia"
"Care United States of America","United States of America"
"Carolina Breastfeeding Institute","United States of America"
"Catalan Agency for Health Technology Assessment (CAHTA)","Spain"
"CEDES, Centro de Estudios de Estado y Sociedad","Argentina"
"Center for Review and Prevention of Child Death","United States of America"
"Centers for Disease Control & Prevention, Division of Reproductive Health (CDC)","United States of America"
"Centre d'Accueil et de Volontariat pour Orphelins, Abandonnes et Handicapes du Cameroun (CAVOAHCAM)","Cameroon"
"Centre for Counselling, Nutrition and Health Care (COUNSENUTH)","United Republic of Tanzania"
"Centre for Development and Population Activities (CEDPA)","United States of America"
"Centre for Girls and Interaction (CEGI)","Malawi"
"Centre for Global Health and Development, Boston University","United States of America"
"Centre for Global Health, Population, Poverty & Policy (CGHP3)","United Kingdom of Great Britain and Northern Ireland"
"Centre for Health and Population Studies (CHPS)","Pakistan"
"Centre for Health and Social Justice","India"
"Centre for Health Policy and Innovation","South Africa"
"Centre for Health Sciences Training, Research and Development (CHESTRAD)","Nigeria"
"Centre for Healthworks, Development and Research (CHEDRES)","Nigeria"
"Centre for Pregnancy and Childbirth Education (CEPAGE)","Ghana"
"Centro Rosarino de Estudios Perinatales (CREP)","Argentina"
"Cercle des Amis du Cameroun (CERAC)","Cameroon"
"Chalmeda Anand Rao Institute of Medical Sciences","India"
"Chelma Advisory Institute","Kenya"
"CHETNA","India"
"Child & Family Research Institute","Canada"
"Child Health and Nutrition Research Initiative (CHNRI)","Bangladesh"
"Child, Maternal & Youth Leadership Initiative","Nigeria"
